	C	FDR_C	I	FDR_I	G	FDR_G	FDR
2610507B11Rik	0.06002360009457796	0.10110558838103795	0.6299554655065713	0.8014715147362883	0.40387880334941884	0.44627970162617897	0.21360964920099734
2610524H06Rik	0.010686333326930019	0.023962329581370078	0.13115463690645734	0.2895211279671943	0.032864111427521436	0.07700512383507474	0.5906372121922882
2700062C07Rik	0.422707361848364	0.44657464673068265	0.24826363110890692	0.45285467632840265	0.013180048365102559	0.035554274723511976	0.495289302840944
2700081O15Rik	0.4269419978039391	0.44957222072812336	0.38476114485023294	0.6047775239248238	0.04042885793334561	0.09109275210136897	0.026608228633593693
2700097O09Rik	0.006530642926207676	0.015627294269574852	0.5624149414387702	0.7495041494843614	0.47756801641313773	0.48742983029043524	0.862135687637529
2810001G20Rik	0.03922644302123025	0.07118146577130283	0.3996985736404919	0.6164550444190977	0.143937554946316	0.2366482244087838	0.24683312556582546
2810004N23Rik	0.009530045326639676	0.021737642959902742	0.8765385984393115	0.9437646111533693	0.06428661450825424	0.13121110926190027	0.12736022649157433
2810403A07Rik	0.32425822833457774	0.37110562712573314	0.8703594407668095	0.9414562490422747	0.4940401240861926	0.49690657522754256	0.6087846209822908
2810455O05Rik	0.3422184374797691	0.385358575236821	0.9562131541408369	0.9801184829943577	0.22924593274079408	0.3211346516549224	0.6688289179703124
2900011O08Rik	0.12659433486175425	0.18307229741887984	0.0039025607039687477	0.015187129602140493	4.303467507960068e-05	0.0001958647380887167	0.0016767859818289995
2900026A02Rik	0.09831608650908263	0.1498521281229586	0.01496402299848484	0.049271660403949244	0.00019827396909666284	0.0008194376310325599	0.003824863583286671
2900052N01Rik	2.9222585928472846e-09	1.7941862124881292e-08	0.011980775032387293	0.040877303113636174	0.015919773769519585	0.04174414320779299	0.08580904822637186
2900055J20Rik	5.625403458448637e-05	0.0002128313841287189	1.8372691341988062e-10	1.541387007364221e-09	9.200225026262387e-10	6.204611495687897e-09	9.828378322440805e-09
2900079G21Rik	0.0007969608893008529	0.0024140567970998036	0.8897328589025394	0.9503479708290804	0.05492733142535433	0.11583995677061447	0.5550257398930118
2900097C17Rik	4.923898384125059e-06	2.1802657146878196e-05	2.3290159705425726e-06	1.4389676857091216e-05	1.2271772487082444e-10	8.65115817272812e-10	2.2267376154121957e-13
3110002H16Rik	0.0338291655080884	0.06315336117617798	0.6304097516943555	0.8016331633601077	0.48948073598250985	0.4943235836228604	0.6976562899558505
3110035E14Rik	2.4704935107868192e-173	1.9366692729760032e-171	5.943379359837204e-207	5.942772892555588e-205	0.0	0.0	0.0
3110039M20Rik	0.015240432655184228	0.03229555512054838	0.1552694865733591	0.3260792325187196	0.04937514128636078	0.10666380279211846	0.006110094411663173
3110040N11Rik	0.22256073776796587	0.282789505885412	0.03589756963680614	0.10465941233890609	0.022815137522476325	0.05654161168000645	0.16091254396066798
3110043O21Rik	0.10640180299053509	0.15935064458264608	0.5116720501548747	0.7100623308088264	0.4022626419805305	0.4452318123037206	0.5136154810065353
3110082I17Rik	0.285349856184493	0.3389562783726298	0.7992635263620839	0.9088167543569076	0.3581140611385272	0.41649369419415616	0.5664322969188332
3300002I08Rik	1.8825015756436168e-05	7.657381876185886e-05	0.903758825017265	0.9589531918077077	0.38167962286866974	0.4314357118039574	0.8917519539394455
3300002P13Rik	4.564234007856954e-25	6.168955730067627e-24	8.653863363450813e-20	1.1745042534411983e-18	0.0	0.0	6.140926157717676e-43
3632451O06Rik	0.42541345378894796	0.4485287748738864	0.05657367046160035	0.15092986573733236	0.00867723552241495	0.024978916240935397	0.01843758716330367
3830406C13Rik	0.3107444688362765	0.3600549899641331	0.6292308376245956	0.8008615375871428	0.3044353120000497	0.38108860785494214	0.38419675398954767
4732471J01Rik	0.2621452998274042	0.3182311438316073	0.10821989069235298	0.2502824425051609	0.06649538565139146	0.1347091759350806	0.9438675507883355
4833420G17Rik	0.08222963412773898	0.13013052080389442	0.32166067352953387	0.5399028674059443	0.3472855998751967	0.4101694387171531	0.2234331875680776
4833422C13Rik	0.20061649769515771	0.26148457846699263	0.5581302556230809	0.7456008545328493	0.4711358711181173	0.48428200997445	0.7124222750776144
4833439L19Rik	0.0713909398971681	0.116205950174809	0.049578233310881584	0.13562733339288907	0.00363428094136109	0.011765511938221394	0.07446071303659213
4921516A02Rik	0.00044616696845453	0.0014287549424463857	0.09776262706587757	0.23106029489110816	0.035375055240442155	0.08196309629721726	0.012661850654325226
4921524J17Rik	0.002153685423214845	0.005931411878044482	0.36524534499172057	0.584745131895731	0.3769984821803465	0.4283097896427324	0.7011138302901139
4930402H24Rik	0.005023507184059456	0.012436523365012189	0.008968211237140743	0.03178282166826117	0.013713442406312892	0.03675547651516959	0.008219811702945631
4930430F08Rik	0.009961784802483662	0.022564847267576838	0.8386892895656013	0.926007475882065	0.44076064768412715	0.46823651199661337	0.7271830582069081
4930452B06Rik	0.15530292266555246	0.21458375345882402	0.010243422570582403	0.035594077223098215	0.0036262508284943262	0.011746655163112695	7.251339703808549e-06
4930453N24Rik	0.14243290360967686	0.20073349956439288	0.7930664811807419	0.9058336769824034	0.3212747804699043	0.3925890477396923	0.5183612589004336
4930481A15Rik	3.7222752674303013e-07	1.8676177852303904e-06	2.4630894158480367e-06	1.5189309745685909e-05	1.577039265843183e-08	9.743636674651546e-08	2.883292192447125e-06
4930509G22Rik	0.017327322441439513	0.03607189985206411	0.3883369229298368	0.6079073091822523	0.2227024090615366	0.3154467919043072	0.8254261361522961
4930524O07Rik	0.00021511672278101644	0.000739105458110512	7.292618888296286e-05	0.00037829736625947754	2.462004922154648e-07	1.3849131017332604e-06	3.781437262299044e-06
4930525G20Rik	0.20985702265271422	0.270684344474654	0.8955036684598313	0.9539324624805999	0.30508735387944685	0.3812716465584364	0.2906613197522668
4930570G19Rik	0.0007464967910458777	0.002273126804057973	0.09797597886232107	0.23145289702793734	0.0022413392755080697	0.007626001236355408	0.014239217891408465
4931406C07Rik	0.42535275499386566	0.44851303628375006	0.29420649054432246	0.5081842765457105	0.019914285833265932	0.050475966601182844	0.2540084092738168
4931428L18Rik	0.20690051978093515	0.2679997611808835	0.0057150104119854704	0.02134199200725824	0.00015957752759432342	0.0006696788834675697	3.320554235107592e-05
4932438A13Rik	0.027722721559484766	0.05361258112520056	0.14538140271401886	0.3115224940290118	0.02141881507599719	0.05363735469708572	0.1342322505809586
4933406I18Rik	0.37044094989670273	0.40761110571346243	0.9635169639610868	0.9825195367827116	0.28209604771799235	0.36405362460010626	0.4687806555289449
4933427D14Rik	0.009318106260921782	0.021308780221883906	0.5866749605644903	0.7676362583217305	0.46178256084150926	0.48015782191064826	0.6795181222443112
4933431E20Rik	0.014940909537946348	0.03179282791798833	0.46333744240350583	0.6710380724374747	0.4519051171634988	0.4751307127773739	0.5297267677026276
4933434E20Rik	0.08050694199634578	0.1279000526300571	0.3629532993840575	0.5824216512403638	0.25260755545578484	0.34043480070296184	0.25728434607373696
5031425E22Rik	0.0005370810816482132	0.0016857327095037929	0.009196178713803491	0.03246158329126816	0.04563427757077421	0.10001572040170352	0.05425944764052757
5031439G07Rik	1.420768511886312e-07	7.489032086053777e-07	0.007212880977567468	0.026274728884454875	0.0011216073430370121	0.004036221209849314	2.460836738481135e-05
5330417C22Rik	0.005544134549215551	0.013538011414475208	0.15952961997458937	0.3320371168502551	0.19045432296722598	0.2848383143632129	0.06422118306790683
5330434G04Rik	0.052868791998929535	0.09099274396440009	0.0018488228486145497	0.007686302542882466	0.018746017783952906	0.04799901444080338	0.18626801753388036
5430416N02Rik	0.17240493894596753	0.2327632952234136	0.8541669765152748	0.9332160036412174	0.42071883511777775	0.4573578727888955	0.5577682521909562
5730409E04Rik	0.21014481829322657	0.27094856242833254	0.11930667551613963	0.2690646981317957	0.06560013943400644	0.13328131169683374	0.630085825718123
5730455P16Rik	0.10090547542579914	0.1528951219572299	0.7098378262343883	0.8561864535917408	0.28431093318262257	0.3654200989318624	0.22909875421050188
5730480H06Rik	0.3582754993958859	0.3978177471479077	0.5964402187753055	0.7764252728150444	0.4452798567057177	0.4708932997905598	0.7865349932985319
5730522E02Rik	4.732781496261343e-05	0.00018087568596671178	0.00017138101415151464	0.0008460264774159657	2.0711705007725456e-06	1.074399139072005e-05	0.00023291470653858737
6030419C18Rik	0.0006844585810997198	0.0021004916202912345	0.6977311505621024	0.8473286144574793	0.04288484189448294	0.09535479140549996	0.27634035436158877
6030443J06Rik	0.0025220259756306017	0.006840114180792767	0.46052703714458276	0.6686478644213611	0.15324632010821615	0.24629501242257013	0.7956384891450282
6030458C11Rik	0.18052972029010178	0.24111980311199618	0.8408548419603881	0.9274579689745432	0.2504906834219922	0.3387934032922155	0.21163573563055119
